item_id_A,name_A,brand_A,cat_A,rank,score,item_id_B,name_B,brand_B,cat_B
2753619,"Alaska Smokehouse 3.25oz Dill Salmon Spread Tin, Made with Wild Alaskan Pink Salmon and Cream Cheese",,,1,0.4039,1895462,"Chicken of the Sea Wild Caught Smoked Alaskan Pink Salmon Packet, Maple Smokehouse Flavor",Chicken of the Sea,Canned Meat & Seafood
2753619,"Alaska Smokehouse 3.25oz Dill Salmon Spread Tin, Made with Wild Alaskan Pink Salmon and Cream Cheese",,,2,0.3957,100041,"O.T.I.S. Salmon Oil, Wild Alaskan, For Dogs & Cats",O.T.I.S.,Dog
2753619,"Alaska Smokehouse 3.25oz Dill Salmon Spread Tin, Made with Wild Alaskan Pink Salmon and Cream Cheese",,,3,0.3351,115978,Raw Seafoods Alaskan King Salmon,Raw Seafoods,Frozen Salmon
2213459,"(2 pack) Crayola Colors of the World Crayons, 24 Ct, Back to School Supplies, Teacher Supplies, Child",Crayola,School Arts and Crafts,1,0.4362,115572,Crayola Crayons,Crayola,School and Office Supplies
2213459,"(2 pack) Crayola Colors of the World Crayons, 24 Ct, Back to School Supplies, Teacher Supplies, Child",Crayola,School Arts and Crafts,2,0.3185,106198,"Crayola Crayon Colors, Nontoxic",Crayola,School and Office Supplies
2213459,"(2 pack) Crayola Colors of the World Crayons, 24 Ct, Back to School Supplies, Teacher Supplies, Child",Crayola,School Arts and Crafts,3,0.2474,114039,"Crayola Markers, Washable, Super Tips",Crayola,School and Office Supplies
2225350,"Gorilla Micro Precise Super Glue, Clear Glue, 5.5 Gram - All Purpose and Fast Setting for Projects and Repairs",Gorilla,Paint Supplies & Tools,1,0.444,109460,Gorilla Micro Precise Super Glue,Gorilla,Home Organization & Supplies
2225350,"Gorilla Micro Precise Super Glue, Clear Glue, 5.5 Gram - All Purpose and Fast Setting for Projects and Repairs",Gorilla,Paint Supplies & Tools,2,0.3795,106578,Gorilla Super Glue,Gorilla,School and Office Supplies
2225350,"Gorilla Micro Precise Super Glue, Clear Glue, 5.5 Gram - All Purpose and Fast Setting for Projects and Repairs",Gorilla,Paint Supplies & Tools,3,0.3592,106215,"Gorilla Glue, Clear",Gorilla,Home Organization & Supplies
2227649,"Maybelline Lash Sensational Luscious Waterproof Mascara, Very Black",Maybelline,Makeup Best Sellers,1,0.877,114824,Maybelline Lash Sensational Luscious Waterproof Mascara Very Black,Maybelline,Makeup & Nail Care
2227649,"Maybelline Lash Sensational Luscious Waterproof Mascara, Very Black",Maybelline,Makeup Best Sellers,2,0.7126,114532,"Maybelline Lash Sensational Lash Sensational Waterproof Mascara, Very Black Very Black",Maybelline,Makeup & Nail Care
2227649,"Maybelline Lash Sensational Luscious Waterproof Mascara, Very Black",Maybelline,Makeup Best Sellers,3,0.6292,114539,Maybelline Lash Sensational Luscious Washable Mascara Blackest Black,Maybelline,Makeup & Nail Care
1940008,"Death Wish Coffee, Organic and Fair Trade, Dark Roast, Ground Coffee, 16oz",,Coffee,1,0.5096,102870,Death Wish Coffee Co Premium Ground Dark Roast Coffee,Death Wish Coffee Co,Coffee & Creamers
1940008,"Death Wish Coffee, Organic and Fair Trade, Dark Roast, Ground Coffee, 16oz",,Coffee,2,0.5096,1858049,Death Wish Coffee Co Premium Ground Dark Roast Coffee,Death Wish Coffee Co,Coffee & Creamers
1940008,"Death Wish Coffee, Organic and Fair Trade, Dark Roast, Ground Coffee, 16oz",,Coffee,3,0.4795,1858700,"Death Wish Coffee Co Coffee, Ground, Medium Roast",Death Wish Coffee Co,Coffee & Creamers
1940004,"Death Wish Coffee, Organic and Fair Trade, Medium Roast, Single-Serve Coffee Pods, 18 Count",,Coffee,1,0.503,1859128,"Death Wish Coffee Co Coffee, Dark, Espresso Roast, Single-Serve Pods",Death Wish Coffee Co,Coffee & Creamers
1940004,"Death Wish Coffee, Organic and Fair Trade, Medium Roast, Single-Serve Coffee Pods, 18 Count",,Coffee,2,0.503,101541,"Death Wish Coffee Co Coffee, Dark, Espresso Roast, Single-Serve Pods",Death Wish Coffee Co,Coffee & Creamers
1940004,"Death Wish Coffee, Organic and Fair Trade, Medium Roast, Single-Serve Coffee Pods, 18 Count",,Coffee,3,0.466,99267,"Death Wish Coffee Co Coffee, Ground, Medium Roast",Death Wish Coffee Co,Coffee & Creamers
1934583,"Folgers Black Silk Ground Coffee, Dark Roast, 37-Ounce",Folgers,Coffee,1,0.6036,1089477,"Folgers Coffee, Ground, Dark, Black Silk",Folgers,Coffee & Creamers
1934583,"Folgers Black Silk Ground Coffee, Dark Roast, 37-Ounce",Folgers,Coffee,2,0.5406,952000,"Folgers Coffee, Dark, Black Silk, K-Cup Pods",Folgers,Coffee & Creamers
1934583,"Folgers Black Silk Ground Coffee, Dark Roast, 37-Ounce",Folgers,Coffee,3,0.4442,100749,"Folgers Coffee, Ground, Medium, Classic Roast",Folgers,Coffee & Creamers
1928414,"Green Giant Simply Steam Broccoli, Carrots, Cauliflower & Cheese Sauce, 10 oz Bag (Frozen Vegetables)",,Frozen Side Dishes,1,0.7505,94674,"Green Giant Simply Steam Broccoli, Cauliflower, Carrots & Cheese Sauce",Green Giant,Specialty Vegetables
1928414,"Green Giant Simply Steam Broccoli, Carrots, Cauliflower & Cheese Sauce, 10 oz Bag (Frozen Vegetables)",,Frozen Side Dishes,2,0.6707,94607,Green Giant Simply Steam Cauliflower & Cheese Sauce,Green Giant,Specialty Vegetables
1928414,"Green Giant Simply Steam Broccoli, Carrots, Cauliflower & Cheese Sauce, 10 oz Bag (Frozen Vegetables)",,Frozen Side Dishes,3,0.6362,94507,Green Giant Simply Steam Broccoli & Cheese Sauce,Green Giant,Specialty Vegetables
2081500,Skittles Wild Berry Chewy Candy Theater Box - 3.5 oz Box,SKITTLES,Gummy & Chewy Candy,1,0.4727,1722471,Skittles Wild Berry Gummies,Skittles,Fruity Confections
2081500,Skittles Wild Berry Chewy Candy Theater Box - 3.5 oz Box,SKITTLES,Gummy & Chewy Candy,2,0.4422,1087418,Skittles SKITTLES Original Fun Size Chewy Candy,Skittles,Seasonal & Holiday Candy
2081500,Skittles Wild Berry Chewy Candy Theater Box - 3.5 oz Box,SKITTLES,Gummy & Chewy Candy,3,0.4152,952980,Skittles SKITTLES LITTLES Chewy Candy Grab N Go Bag,Skittles,Fruity Confections
1925705,"Jell-O Cook & Serve Vanilla Pudding & Pie Filling Mix, 3 oz Box",,Easy to Make,1,0.7252,96796,Jell-O Cook & Serve Vanilla Pudding & Pie Filling,Jell-O,Gelatin & Puddings
1925705,"Jell-O Cook & Serve Vanilla Pudding & Pie Filling Mix, 3 oz Box",,Easy to Make,2,0.6838,96356,Jell-O Cook & Serve Vanilla Pudding & Pie Filling Family Size,Jell-O,Gelatin & Puddings
1925705,"Jell-O Cook & Serve Vanilla Pudding & Pie Filling Mix, 3 oz Box",,Easy to Make,3,0.6021,96475,Jell-O Cook & Serve Lemon Pudding & Pie Filling,Jell-O,Gelatin & Puddings
1917815,"Starbucks Caff Verona, Ground Coffee, Dark Roast Hot or Iced Coffee, 12 oz",,Back to College Food,1,0.5162,99054,"Starbucks Coffee, 100% Arabica, Ground, Dark Roast, Caffe Verona",Starbucks,Coffee & Creamers
1917815,"Starbucks Caff Verona, Ground Coffee, Dark Roast Hot or Iced Coffee, 12 oz",,Back to College Food,2,0.5091,101786,Starbucks Ground 100% Arabica Dark Roast Caffe Verona Coffee,Starbucks,Coffee & Creamers
1917815,"Starbucks Caff Verona, Ground Coffee, Dark Roast Hot or Iced Coffee, 12 oz",,Back to College Food,3,0.4926,105741,"Starbucks Coffee, Dark Roast, Caffee Verona, K-Cup Pods",Starbucks,Coffee & Creamers
2273735,"San Giorgio Jumbo Shells Pasta, 12-Ounce Box",San Giorgio,Pasta & pizza,1,0.4675,102969,Wegmans Jumbo Shells Pasta,Wegmans,Pasta
2273735,"San Giorgio Jumbo Shells Pasta, 12-Ounce Box",San Giorgio,Pasta & pizza,2,0.4278,951714,Barilla Classic Jumbo Shells Pasta,Barilla,Pasta
2273735,"San Giorgio Jumbo Shells Pasta, 12-Ounce Box",San Giorgio,Pasta & pizza,3,0.318,95611,Wegmans Pasta Shells,Wegmans,Pasta
2260600,Busch Light American Light Lager Beer 30 Pack 12 fl oz Aluminum Cans 4.1% ABV,Busch Light,Gametime Food,1,0.4551,1089751,Busch Light Beer,Busch Light,Pilsners/Lagers
2260600,Busch Light American Light Lager Beer 30 Pack 12 fl oz Aluminum Cans 4.1% ABV,Busch Light,Gametime Food,2,0.4551,1089753,Busch Light Beer,Busch Light,Pilsners/Lagers
2260600,Busch Light American Light Lager Beer 30 Pack 12 fl oz Aluminum Cans 4.1% ABV,Busch Light,Gametime Food,3,0.4421,958307,Busch Light Beer 12/12oz cans,Busch,Pilsners/Lagers
2230861,"COVERGIRL TruBlend Pressed Blendable Powder, Translucent Fair, .39 oz, Setting Powder",COVERGIRL,Face Makeup,1,0.5894,113058,"CoverGirl TruBlend Pressed Powder, Mineral, Translucent Fair l1-4",CoverGirl,Makeup & Nail Care
2230861,"COVERGIRL TruBlend Pressed Blendable Powder, Translucent Fair, .39 oz, Setting Powder",COVERGIRL,Face Makeup,2,0.5251,106950,"CoverGirl CG Smoothers Pressed Powder, Translucent Fair 705",CoverGirl,Makeup & Nail Care
2230861,"COVERGIRL TruBlend Pressed Blendable Powder, Translucent Fair, .39 oz, Setting Powder",COVERGIRL,Face Makeup,3,0.5152,113211,"CoverGirl TruBlend Pressed Powder, Mineral, l5-7 Translucent Light",CoverGirl,Makeup & Nail Care
1921726,"Marketside Tzatziki Style Dip, 16 oz, Refrigerated, Contains Milk",,Dips & Spreads,1,0.4814,955071,Wegmans Tzatziki Dip,Wegmans,Mediterranean Dips
1921726,"Marketside Tzatziki Style Dip, 16 oz, Refrigerated, Contains Milk",,Dips & Spreads,2,0.4248,1090169,Gotham Greens Tzatziki Dip,Gotham Greens,Dairy Free Dips
1921726,"Marketside Tzatziki Style Dip, 16 oz, Refrigerated, Contains Milk",,Dips & Spreads,3,0.4248,954977,Gotham Greens Tzatziki Dip,Gotham Greens,Dairy Free Dips
1929792,"Great Value Crisp and Salty Mini Pretzel Twists, 16 oz",,Pretzels,1,0.4219,1864947,Dot's Homestyle Pretzels Seasoned Buffalo Pretzel Twists,Dot's Homestyle Pretzels,Pretzels
1929792,"Great Value Crisp and Salty Mini Pretzel Twists, 16 oz",,Pretzels,2,0.418,2682591,Dot's Homestyle Pretzels Seasoned Original Pretzel Twists,,Multipack & On The Go Snacks
1929792,"Great Value Crisp and Salty Mini Pretzel Twists, 16 oz",,Pretzels,3,0.4172,101011,"Dot's Homestyle Pretzels Pretzel Twists, Original Seasoned",Dot's Homestyle Pretzels,Pretzels
1918947,"Smucker's Sugar Free Seedless Blackberry Jam, 12.75 oz",,Sugar-Free Snacks,1,0.5294,98446,Smucker's Seedless Blackberry Jam,Smucker's,"Jams, Jelly & Preserves"
1918947,"Smucker's Sugar Free Seedless Blackberry Jam, 12.75 oz",,Sugar-Free Snacks,2,0.3404,105518,"Smucker's Jam, Strawberry, Seedless",Smucker's,"Jams, Jelly & Preserves"
1918947,"Smucker's Sugar Free Seedless Blackberry Jam, 12.75 oz",,Sugar-Free Snacks,3,0.3161,105653,"Smucker's Jam, Red Raspberry, Seedless",Smucker's,"Jams, Jelly & Preserves"
1929958,"Great Value Lightly Salted, Shelled Pistachios, 12 oz Bag",,Health-inspired Snacks,1,0.4865,96197,Wonderful Pistachios No Shells Lightly Salted Pistachios,Wonderful Pistachios,Snack Nuts
1929958,"Great Value Lightly Salted, Shelled Pistachios, 12 oz Bag",,Health-inspired Snacks,2,0.37,105568,Wonderful Pistachios In-Shell Roasted & Salted Pistachios,Wonderful Pistachios,Snack Nuts
1929958,"Great Value Lightly Salted, Shelled Pistachios, 12 oz Bag",,Health-inspired Snacks,3,0.3647,101072,Wonderful Pistachios No Shells Roasted & Salted Pistachios,Wonderful Pistachios,Snack Nuts
1923805,"Baked Lay’s 50% Less Fat Original Potato Chips Bag, 6.25 oz",,Health-inspired Snacks,1,0.4398,102719,Wegmans Original Potato Chips,Wegmans,Chips
1923805,"Baked Lay’s 50% Less Fat Original Potato Chips Bag, 6.25 oz",,Health-inspired Snacks,2,0.4384,105930,"Lay's Baked Potato Crisps , Original",Lay's,Chips
1923805,"Baked Lay’s 50% Less Fat Original Potato Chips Bag, 6.25 oz",,Health-inspired Snacks,3,0.4209,97238,Lay's Wavy Potato Chips Original 7 3/4 Oz,Lay's,Chips
2053706,"Nature Valley Sweet and Salty Nut Granola Bars, Almond, 15 Bars, 18 oz",,Snack Bars,1,0.6821,95908,Nature Valley Sweet & Salty Nut Chewy Almond Granola Bars,Nature Valley,Breakfast & Snack Bars
2053706,"Nature Valley Sweet and Salty Nut Granola Bars, Almond, 15 Bars, 18 oz",,Snack Bars,2,0.5905,95726,Nature Valley Sweet & Salty Nut Chewy Peanut Granola Bars,Nature Valley,Breakfast & Snack Bars
2053706,"Nature Valley Sweet and Salty Nut Granola Bars, Almond, 15 Bars, 18 oz",,Snack Bars,3,0.5897,104363,"Nature Valley Sweet & Salty Nut Chewy Dark Chocolate, Peanut & Almond Granola Bars",Nature Valley,Breakfast & Snack Bars
1931598,"Great Value 100% Arabica French Dark Roast Ground Coffee Pods, 12 Count",,Coffee,1,0.5137,99053,"Starbucks Coffee, 100% Arabica, Ground, Dark Roast, French Roast",Starbucks,Coffee & Creamers
1931598,"Great Value 100% Arabica French Dark Roast Ground Coffee Pods, 12 Count",,Coffee,2,0.4913,1090986,Wegmans Arabica Ground Coffee French Roast Dark Roast FAMILY PACK,Wegmans,Coffee & Creamers
1931598,"Great Value 100% Arabica French Dark Roast Ground Coffee Pods, 12 Count",,Coffee,3,0.4817,953739,Starbucks K-Cup Pods Ground 100% Arabica Dark Roast Espresso Roast Coffee,Starbucks,Coffee & Creamers
2236539,"Body Fantasies Twilight Mist Body Spray, 8 fl.oz. with Bonus 3.2 fl.oz.",Body Fantasies,Body Spray,1,0.4381,115540,"Body Fantasies Fragrance Body Spray, White Musk",Body Fantasies,Travel
2236539,"Body Fantasies Twilight Mist Body Spray, 8 fl.oz. with Bonus 3.2 fl.oz.",Body Fantasies,Body Spray,2,0.2112,2685672,"Febreze Air Freshener Spray, Twilight Lavender Scent",,Air Care
2236539,"Body Fantasies Twilight Mist Body Spray, 8 fl.oz. with Bonus 3.2 fl.oz.",Body Fantasies,Body Spray,3,0.1767,2685430,Axe Body Spray Vanilla,,Deodorant & Antiperspirant
2756671,"The Bean Organic Coffee Company House Blend, Medium Roast, Whole Bean Coffee, 5-Pound Bag",,,1,0.432,100972,Eight O'Clock Coffee The Original Medium Roast Whole Bean Coffee,Eight O'Clock Coffee,Coffee & Creamers
2756671,"The Bean Organic Coffee Company House Blend, Medium Roast, Whole Bean Coffee, 5-Pound Bag",,,2,0.4195,1092164,Laughing Horse Coffee & Tea Co. Tempo Blend Medium Roast Whole Bean Coffee,Laughing Horse Coffee & Tea Co.,Coffee & Creamers
2756671,"The Bean Organic Coffee Company House Blend, Medium Roast, Whole Bean Coffee, 5-Pound Bag",,,3,0.4103,97263,"Eight O'Clock Coffee Coffee, The Original, Medium Roast, Whole Bean",Eight O'Clock Coffee,Coffee & Creamers
2065398,"Prime Ice Hydration Sports Drink, Orange, 16.9 fl oz, Bottle",,Gametime Food,1,0.5522,1163199,Prime Hydration Ice Orange Sports Drinks 12 Pack,Prime Hydration,Sports & Energy Drinks
2065398,"Prime Ice Hydration Sports Drink, Orange, 16.9 fl oz, Bottle",,Gametime Food,2,0.4559,952238,"Prime Hydration Drink, Orange, Smooth + Refreshing, Ice",Prime,Sports & Energy Drinks
2065398,"Prime Ice Hydration Sports Drink, Orange, 16.9 fl oz, Bottle",,Gametime Food,3,0.4485,1088471,Prime Hydration Drink,Prime,Sports & Energy Drinks
2208449,"L.A. COLORS Gel-like Nail Polish, Flashy, 0.44 fl oz",L.A. COLORS,Nails,1,0.4084,948109,"Essie gel couture gel-like nail polish, vegan, gray tassel free",Essie,Makeup & Nail Care
2208449,"L.A. COLORS Gel-like Nail Polish, Flashy, 0.44 fl oz",L.A. COLORS,Nails,2,0.4068,948528,"Essie gel couture by  gel-like nail polish, vegan, black like it loud",Essie,Makeup & Nail Care
2208449,"L.A. COLORS Gel-like Nail Polish, Flashy, 0.44 fl oz",L.A. COLORS,Nails,3,0.3964,948119,"Essie gel couture by  gel-like nail polish, vegan, blue cut loose",Essie,Makeup & Nail Care
2236767,Conair Infinitipro Tourmaline 1-Inch Ceramic Curling Iron,Conair,Hair Accessories,1,0.4527,112418,"Conair Curling Iron, Double Ceramic, 1 inch",Conair,Hair Care
2236767,Conair Infinitipro Tourmaline 1-Inch Ceramic Curling Iron,Conair,Hair Accessories,2,0.341,112397,"Conair Flat Iron, Double Ceramic, 1-1/2 Inch",Conair,Hair Care
2236767,Conair Infinitipro Tourmaline 1-Inch Ceramic Curling Iron,Conair,Hair Accessories,3,0.2595,948348,"Conair Hot Air Brush, 3-in-1, Double Ceramic",Conair,Hair Care
2236633,"OGX Clarifying Strength and Rosemary Mint Hair Shampoo, 13 fl. oz",OGX,Straight Hair,1,0.6905,948397,"Ogx Shampoo, Clarifying Strength +, Rosemary Mint",Ogx,Hair Care
2236633,"OGX Clarifying Strength and Rosemary Mint Hair Shampoo, 13 fl. oz",OGX,Straight Hair,2,0.6596,948332,"Ogx Shampoo, Rosemary Mint, Clarifying Strength +",Ogx,Hair Care
2236633,"OGX Clarifying Strength and Rosemary Mint Hair Shampoo, 13 fl. oz",OGX,Straight Hair,3,0.6395,948304,"Ogx Conditioner, Clarifying Strength +, Rosemary Mint",Ogx,Hair Care
2229683,"6.5"" x 6.5"" Disposable Multicolor Cake Time Happy Birthday Paper Napkins, 16 Count, by Way To Celebrate",Way To Celebrate,Birthday Party Supplies,1,0.4435,948486,Amscan Happy Birthday Luncheon Napkins,Amscan,Party Supplies
2229683,"6.5"" x 6.5"" Disposable Multicolor Cake Time Happy Birthday Paper Napkins, 16 Count, by Way To Celebrate",Way To Celebrate,Birthday Party Supplies,2,0.3776,110504,"C.R. Gibson Napkins, Lunch, Happy Birthday, 3-Ply",C.R. Gibson,Seasonal Party Supplies
2229683,"6.5"" x 6.5"" Disposable Multicolor Cake Time Happy Birthday Paper Napkins, 16 Count, by Way To Celebrate",Way To Celebrate,Birthday Party Supplies,3,0.3622,1085637,"C.R. Gibson Napkins, Beverage, Happy Birthday, 3-Ply",C.R. Gibson,Seasonal Party Supplies
2052077,"(4 pack) Nestle La Lechera Sweetened Condensed Milk for Thanksgiving Baking, 14 oz Can",,,1,0.5127,96525,"La Lechera Condensed Milk, Sweetened, Original",La Lechera,Latino Foods
2052077,"(4 pack) Nestle La Lechera Sweetened Condensed Milk for Thanksgiving Baking, 14 oz Can",,,2,0.4184,99466,Wegmans Sweetened Condensed Milk,Wegmans,Canned & Powdered Milk
2052077,"(4 pack) Nestle La Lechera Sweetened Condensed Milk for Thanksgiving Baking, 14 oz Can",,,3,0.414,97705,Wegmans Organic Sweetened Condensed Milk,Wegmans,Canned & Powdered Milk
2238030,"Way To Celebrate Silver Happy Birthday Balloon Banner, 20 Inch Letters",Way To Celebrate,Party Supplies by Color,1,0.4782,949491,"Creative Converting Balloon Banner, Happy Birthday",Creative Converting,Seasonal Party Supplies
2238030,"Way To Celebrate Silver Happy Birthday Balloon Banner, 20 Inch Letters",Way To Celebrate,Party Supplies by Color,2,0.3619,1085280,"Creative Converting Foil Banner, Happy Birthday",Creative Converting,Party Supplies
2238030,"Way To Celebrate Silver Happy Birthday Balloon Banner, 20 Inch Letters",Way To Celebrate,Party Supplies by Color,3,0.3333,110218,"American Greetings Medium Gift Bag (G7), Happy Birthday Balloon",American Greetings,Gift Wrap & Accessories
2239929,Hallmark Birthday Card for Grandson (Adventures Have Just Begun),Hallmark,Greeting Cards,1,0.4971,110351,"American Greetings Greeting Card (S78), Birthday Card for Grandson, Wonderful",American Greetings,Greeting Cards
2239929,Hallmark Birthday Card for Grandson (Adventures Have Just Begun),Hallmark,Greeting Cards,2,0.3477,110345,"Papyrus Greeting Cards (S13), Birthday Card, Confetti Birthday",Papyrus,Greeting Cards
2239929,Hallmark Birthday Card for Grandson (Adventures Have Just Begun),Hallmark,Greeting Cards,3,0.337,110363,"Papyrus Greeting Cards (S30), Birthday Card for Her, Endless Wishes",Papyrus,Greeting Cards
2240219,Hallmark Encmt Rainbow Care And Concern Card,Hallmark,Greeting Cards,1,0.4592,950900,"Papyrus Greeting Cards (S5), Thinking Of You Card, Butterfly",Papyrus,Greeting Cards
2240219,Hallmark Encmt Rainbow Care And Concern Card,Hallmark,Greeting Cards,2,0.4465,1094202,"Papyrus Greeting Cards (S1), Thinking Of You Card, Gemmed Flower",Papyrus,Greeting Cards
2240219,Hallmark Encmt Rainbow Care And Concern Card,Hallmark,Greeting Cards,3,0.4416,110352,"Papyrus Greeting Cards (S20), Thinking of You Card, Dog With Glasses",Papyrus,Greeting Cards
2203756,"Kinder Easter Mini Eggs, Milk Chocolate, Individually Wrapped Easter Chocolate Candy, 3 oz",Kinder Seasonal,Easter Candy,1,0.4874,2683722,"100 Grand Minis, Mini-Size Milk Chocolate Easter Candy Bars with Caramel, Individually Wrapped",,Seasonal & Holiday Candy
2203756,"Kinder Easter Mini Eggs, Milk Chocolate, Individually Wrapped Easter Chocolate Candy, 3 oz",Kinder Seasonal,Easter Candy,2,0.4025,101248,"Butterfinger Individually Wrapped Easter Minis, Easter Basket and Egg Hunt Fillers",Butterfinger,Seasonal & Holiday Candy
2203756,"Kinder Easter Mini Eggs, Milk Chocolate, Individually Wrapped Easter Chocolate Candy, 3 oz",Kinder Seasonal,Easter Candy,3,0.3997,1087207,"Kinder Chocolate, Mini, Family Pack",Kinder,Chocolate
2258062,"Lay's Potato Chips, Barbecue Flavor, 2.75 oz Bag",,Chips,1,0.6855,102467,Lay's Potato Chips Barbecue Flavored 7 3/4 Oz,Lay's,Chips
2258062,"Lay's Potato Chips, Barbecue Flavor, 2.75 oz Bag",,Chips,2,0.657,1089583,"Lay's Potato Chips, Barbecue Flavored",Lay's,Multipack & On The Go Snacks
2258062,"Lay's Potato Chips, Barbecue Flavor, 2.75 oz Bag",,Chips,3,0.652,1091704,Lay's Potato Chips Barbecue Flavored 2 1/2 Oz,Lay's,Multipack & On The Go Snacks
1919302,"Skinnypop Gluten Free Original Popcorn, 8.0 oz Family Size Bag, Skinny Pop, Popcorn Snacks",,Popcorn,1,0.539,1476633,SkinnyPop Original Popcorn,SkinnyPop,Multipack & On The Go Snacks
1919302,"Skinnypop Gluten Free Original Popcorn, 8.0 oz Family Size Bag, Skinny Pop, Popcorn Snacks",,Popcorn,2,0.5253,95496,Skinny Pop Popcorn,Skinny Pop,Popcorn
1919302,"Skinnypop Gluten Free Original Popcorn, 8.0 oz Family Size Bag, Skinny Pop, Popcorn Snacks",,Popcorn,3,0.5183,104569,SkinnyPop Original Popcorn 4.4oz,SkinnyPop,Popcorn
2272760,"Black Box Malbec Red Wine, 3L Box",Black Box Wines,,1,0.5886,90489,Black Box Malbec,,Large Formats
2272760,"Black Box Malbec Red Wine, 3L Box",Black Box Wines,,2,0.3842,89592,Black Box Shiraz,black box wines,Large Formats
2272760,"Black Box Malbec Red Wine, 3L Box",Black Box Wines,,3,0.3715,2684073,Septima Malbec,,Argentina
2091425,"Schick Xtreme 3-Blade Men's Disposable Razors, All Skin Types, 4 Ct",,,1,0.5197,949104,Schick Xtreme 3 Blades Sensitive Disposable Razors,Schick,Shaving & Grooming
2091425,"Schick Xtreme 3-Blade Men's Disposable Razors, All Skin Types, 4 Ct",,,2,0.3765,949143,Schick Hydro Silk 5 Blades Ultra Sensitive Disposable Razors,Schick,Shaving & Grooming
2091425,"Schick Xtreme 3-Blade Men's Disposable Razors, All Skin Types, 4 Ct",,,3,0.3569,107036,"Schick Xtreme2 Sensitive Razors, Sensitive, 2 Blades",Schick,Shaving & Grooming
2251800,"Dove Beauty Bar Women's Bath Soap Original, 3.75 oz 8 Bars",Dove,Bath & Shower,1,0.63,108727,Dove Beauty Bar Beauty Bar Soap Original,Dove,Bath & Body
2251800,"Dove Beauty Bar Women's Bath Soap Original, 3.75 oz 8 Bars",Dove,Bath & Shower,2,0.6141,114564,Dove Beauty Bar Original Beauty Bar Soap,Dove,Bath & Body
2251800,"Dove Beauty Bar Women's Bath Soap Original, 3.75 oz 8 Bars",Dove,Bath & Shower,3,0.6141,108728,Dove Beauty Bar Original Beauty Bar Soap,Dove,Bath & Body
1918720,"Ol' Roy Semi Moist Beef & Cheese Flavor Dog Food, 13.5 lb, 36 Pouches",,Dog Food,1,0.4139,104773,Moist & Meaty Adult Burger with Cheddar Cheese Flavor Dog Food,Moist & Meaty,Dog
1918720,"Ol' Roy Semi Moist Beef & Cheese Flavor Dog Food, 13.5 lb, 36 Pouches",,Dog Food,2,0.3457,953629,"Better Dog Food, Gourmet, Semi-Moist",Better,Dog
