item_id_A,name_A,slug_A,item_id_B,name_B,slug_B,slug_jaccard
2260714,"White Claw Hard Seltzer Variety Pack, 24 Pack, 12 fl oz Cans, 5% ABV",White-Claw-Hard-Seltzer-Variety-Pack-24-Pack-12-fl-oz-Cans-5-ABV,89187,White Claw Hard Seltzer Variety Pack #1 12/12oz Cans,Hard-Seltzer-Variety-Pack-1-1212oz-Cans,0.3846
2118557,Irish Spring Deodorant Bar Soap Original,Irish-Spring-Deodorant-Bar-Soap-Original,114822,Irish Spring Aloe Mist Deodorant Bar Soap for Men,Deodorant-Bar-Soap-for-Men,0.375
2381911,Libman Jumbo Cotton Wet Mop Refill,Libman-Jumbo-Cotton-Wet-Mop-Refill,109707,"Libman Mop Refill, Microfiber, Wet & Dry",Mop-Refill-Microfiber-Wet-Dry,0.375
2094491,"(14 pack) Pringles Hot Ones Verde Potato Crisps Chips, Spicy Snacks, 5.5 oz",pack-Pringles-Hot-Ones-Verde-Potato-Crisps-Chips-Spicy-Snacks-5-5-oz,1087811,"Pringles Hot Ones Potato Crisps Chips, Verde",Potato-Crisps-Chips-Verde,0.3636
2271266,"Emergen-C Immune+ Vitamin C Chewables for Immune Support, Orange Blast, 42 Count",Emergen-C-Immune-Vitamin-C-Chewables-for-Immune-Support-Orange-Blast-42-Ct,114403,Emergen-C 1000mg Vitamin C Powder for Daily Immune Support - 30 Ct,1000mg-Vitamin-C-Powder-for-Daily-Immune-Support-30-Ct,0.3571
2069140,Tru Fru Grab & Go Hyper-Dried Real Raspberries in Dark Chocolate 2.1oz,Tru-Fru-Grab-Go-Hyper-Dried-Real-Raspberries-in-Dark-Chocolate-2-1oz,1090543,Tru Fru Freeze Dried Raspberries in Dark & White Chocolate,Freeze-Dried-Raspberries-in-Dark-White-Chocolate,0.3571
2196273,"Nissin Cup Noodles Protein Ramen, Chicken Flavor with Bone Broth, 16g Protein, 2.54 Ounce Cup",Cup-Noodles-Protein-Rich-Savory-Chicken-Flavor-Ramen-Noodle-Soup-in-Sauce-2-54-oz,97595,"Nissin Top Ramen Ramen Noodle Soup, Chicken Flavor",Ramen-Noodle-Soup-Chicken-Flavor,0.3571
1923084,"L'Oreal Paris Age Perfect Cell Renewal Midnight Serum, Anti-Aging Complex, 1 fl oz",L-Oreal-Paris-Age-Perfect-Cell-Renewal-Midnight-Serum-Anti-Aging-Complex-1-fl-oz,110785,L'Oreal Paris Age Perfect Cell Renewal Anti-Aging Day Moisturizer SPF 25,Age-Perfect-Cell-Renewal-Anti-Aging-Day-Moisturizer-SPF-25,0.3529
1948448,Alexia® Sweet Potato Puffs Bitze-Sized and Crispy 20oz,Alexia-Crispy-Bite-Size-Sweet-Potato-Puffs-20-oz,953960,"Alexia Puffs, Sweet Potato",Puffs-Sweet-Potato,0.3333
371550,Carnation Evaporated Milk (Pack of 14),Carnation-Evaporated-Milk-Pack-of-14,102137,Carnation Evaporated Milk,Evaporated-Milk,0.3333
2121522,"Glade PlugIns Scented Oil 5 Refills, Air Freshener, Exotic Tropical Blossom + Coastal Citrus Sunshine, Essential Oil Infused Wall Plug In, 3.35 FL oz, Pack of 5",Glade-PlugIns-Scented-Oil-5-Refills-Air-Freshener-Exotic-Tropical-Blossom-Coastal-Citrus-Sunshine-Essential-Oil-Infused-Wall-Plug-In-3-35-FL-oz-Pack,112985,"Glade PlugIns Scented Oil Warmer, Holds Essential Oil Infused Wall Plug In Refill",PlugIns-Scented-Oil-Warmer-Holds-Essential-Oil-Infused-Wall-Plug-In-Refill,0.32
2269667,"Old Spice Invisible Solid Antiperspirant Deodorant for Men, Stick, Harbor, 2.6 oz",Old-Spice-Invisible-Solid-Antiperspirant-Deodorant-for-Men-Stick-Harbor-2-6-oz,114440,"Old Spice Red Collection Antiperspirant and Deodorant for men, Swagger",Antiperspirant-and-Deodorant-for-men-Swagger,0.3077
2062720,"Tree Hut Fresh Snow Shea Sugar Scrub, 18 oz",Tree-Hut-Fresh-Snow-Shea-Sugar-Scrub-18-oz,108652,Tree Hut Vanilla Shea Sugar Scrub,Vanilla-Shea-Sugar-Scrub,0.3
2195422,"Stye Sterile Lubricant Eye Drops, Fast Soothing Relief, 0.5 oz",Stye-Sterile-Lubricant-Eye-Drops-Fast-Soothing-Relief-Stye-Eye-Relief-0-5-oz,1090681,"Stye Eye Ointment, Sterile Lubricant",Eye-Ointment-Sterile-Lubricant,0.3
2065701,"Frankford Holiday Assorted Candy Mega Mix Bulk Variety Bag, 40 oz",Frankford-Holiday-Assorted-Candy-Mega-Mix-Bag-40-ounces,1087433,Frankford Fruity Pebble Snack Size Candy--Holiday Bag,Snack-Size-Candy-Holiday-Bag,0.2727
2203172,"Native Body Wash, Vanilla & Cactus Flower, Sulfate Free, for Women & Men, 18 fl oz",Native-Vanilla-Cactus-Flower-Body-Wash-18-oz-Pack-of-1,110776,Native Premium Coconut & Vanilla Body Wash,Coconut-Vanilla-Body-Wash,0.2727
2226231,"Sharpie S-Note Creative Markers, Assorted Colors, Chisel Tip, 24 Count",Sharpie-S-Note-Creative-Markers-Highlighters-Assorted-Colors-Chisel-Tip-24-Count,109465,"Sharpie S Note Creative Marker, Chisel Tip",Creative-Marker-Chisel-Tip,0.25
2234458,"(3 pack) Command Large Towel Hooks Value Pack, Frosted, 3 Wall Hooks, Holds 5 lbs, Bathroom Organization",pack-Command-Large-Towel-Hooks-Value-Pack-Frosted-3-Wall-Hooks-Holds-5-lbs-Bathroom-Organization,106236,"COMMAND Hooks, Mini, Value Pack",Hooks-Mini-Value-Pack,0.2308
2195011,"Suave Wild Cherry Blossom Moisturizing Body Wash with Glycerin & Vitamin E, 30 FL OZ Pump",Suave-Essentials-Gentle-Liquid-Body-Wash-Wild-Cherry-Blossom-30-oz,112225,Suave Gentle Ocean Breeze Body Wash,Gentle-Ocean-Breeze-Body-Wash,0.2308
2270163,"Poland Spring Maine Spring Water, 12 Fl Oz, 12-Pack Plastic Bottles",Poland-Spring-nbsp-Maine-nbsp-Spring-Water-12-fl-oz-12-Pack,1092087,Poland Spring Spring Water,Spring-Water,0.2222
2094123,"Ultima Replenisher Hydration Electrolyte Powder Drink Mix, Sugar-Free Peach Bellini Mocktini 90 Servings",Ultima-Replenisher-Hydration-Electrolyte-Powder-Drink-Mix-Sugar-Free-Peach-Bellini-Mocktini-90-Servings,950251,"Ultima Replenisher Electrolyte Drink Mix, Lemonade, Daily",Electrolyte-Drink-Mix-Lemonade-Daily,0.1875
366279,"Slim Jim Monster Size Tabasco Smoked Snack Sticks, Monster Meat Sticks, 1.94 Oz, 18 Ct",Slim-Jim-Monster-Size-Tabasco-Smoked-Snack-Sticks-Monster-Meat-Sticks-1-94-Oz-18-Ct,99950,Slim Jim Original Smoked Snack Sticks Pantry Pack,Original-Smoked-Snack-Sticks-Pantry-Pack,0.1875
599869,"Kraft Big Slice Aged Swiss Cheese Slices, 10 ct Pack",Kraft-Big-Slice-Aged-Swiss-Cheese-Slices-10-ct-Pack,93272,Kraft Singles American Cheese Slices,American-Cheese-Slices,0.1818
2268552,"Gatorade Lower Sugar, No Artificials Rain Berry Flavored Electrolyte Sports Drink, 20 fl oz Bottle, (6 Pack), 75% Less Sugar, Hydration",Gatorade-Lower-Sugar-Rain-Berry-20oz-6pk-PET,100402,"Gatorade Zero Thirst Quencher, Berry, Zero Sugar",Thirst-Quencher-Berry-Zero-Sugar,0.1818
2113923,"(4 pack) Green Mountain Coffee Hazelnut Flavored K-Cup Pods, Light Roast, 24 Count for Keurig Brewers",KCUP-HAZELNUT-96CT,953777,Green Mountain Coffee Roasters K-Cup Pods Hazelnut Coffee,K-Cup-Pods-Hazelnut-Coffee,0.1667
2092799,"(8 pack) Jack Link’s Beef Jerky, Teriyaki, Made with 100% Beef, 11g of Protein per Serving, 5 Ounce, Resealable Bag",pack-Jack-Link-s-Beef-Jerky-Teriyaki-Made-with-100-Beef-11g-of-Protein-per-Serving-5-oz-Resealable-Bag,99098,Jack Link's Half Pounder Teriyaki Beef Jerky,Half-Pounder-Teriyaki-Beef-Jerky,0.1579
2103902,"Clean Logic X Large Exfoliating Body Scrubber, Colors May Vary, 1 Ea, 2 Pack",Clean-Logic-X-Large-Exfoliating-Body-Scrubber-Colors-May-Vary-1-Ea-2-Pack,108636,Cleanlogic Detoxify Exfoliating Body Gloves,Detoxify-Exfoliating-Body-Gloves,0.1538
2118588,"Scrub Daddy FG0100901006PD0EN02 Classic Kitchen Scrubber Sponge, Scratch-Free, Dye-Free",Scrub-Daddy-FG0100901006PD0EN02-Classic-Kitchen-Scrubber-Sponge-Scratch-Free-Dye-Free-Quantity-6,110892,"Scrub Daddy Scrub Mommy Scrubber + Sponge, Dual-Sided",Scrubber-Sponge-Dual-Sided,0.1538
369439,Blueberry Syrup 12Ounce by Walden Farms,Blueberry-Syrup-12Ounce-by-Walden-Farms,94174,Walden Farms Caramel Syrup,Caramel-Syrup,0.1429
2199250,"Butterball Fully Cooked Turkey Breakfast Sausage Patties, 10 Oz., 8 Count",Butterball-Fully-Cooked-Turkey-Breakfast-Sausage-Patties-10-Oz-8-Count,2039744,Butterball Frozen Hen Turkey (10-14 LB),Frozen-Hen-Turkey-10-14-LB,0.1429
2197764,"Oats Overnight Glazed Blueberry Donut, High-Protein Overnight Oatmeal Shake, 2.8 oz, 1 pouch",Single-Pouch-Glazed-Blueberry-Donut,98247,Oats Overnight Blueberry Muffin Shake,Blueberry-Muffin-Shake,0.1429
2092878,"Bulletproof The High Achiever Cold Brew Coffee, 10 Ounces, High Caffeine Enhanced Coffee with Lion's Mane Mushroom, B Vitamins, and Adaptogens for Energy and Focus",Bulletproof-High-Achiever-Cold-Brew-Coffee-10-Ounces-Medium-Dark-Roast-Enhanced-Coffee-Lion-s-Mane-Mushroom-B-Vitamins-Adaptogens-Energy-Focus,105068,"Bulletproof Coffee, Medium Roast, The Original, Pods",Coffee-Medium-Roast-The-Original-Pods,0.1364
2197887,"Wilde Terra Apple Cinnamon Granola, 15g Protein, No Added Sugar, 10.3 oz",Wild-Terra-Apple-Cinnamon-No-Added-Sugar-Granola-10-3-OZ,95797,Nature Valley Soft Baked Cinnamon Brown Sugar Oatmeal Squares,Soft-Baked-Cinnamon-Brown-Sugar-Oatmeal-Squares,0.1333
2267751,"(2 pack) Earth's Best Organic Bite-Size Munchy Fingers Mixed Berry Puffed Baby Snack, 1.05 oz Box",pack-Earth-s-Best-Organic-Stage-3-Munchy-Fingers-Mixed-Berry-Baby-Snack-1-05-oz,1085954,"Earth's Best Organic Fruit Yogurt Smoothie, Mixed Berry",Fruit-Yogurt-Smoothie-Mixed-Berry,0.125
1915246,"Tresemme Weightless Silk Serum Keratin Smooth Heat Protection and Frizz Control, 3.3 oz",Tresemme-Weightless-Silk-Serum-Keratin-Smooth-Heat-Protection-and-Frizz-Control-3-3-oz,109111,TRESemmé Pro Pure Leave-in Hair Conditioner Detangle and Smooth,Leave-in-Hair-Conditioner-Detangle-and-Smooth,0.1176
1946046,"BAND-AID Tough Strips Waterproof Bandages, 20 Count",BAND-AID-Tough-Strips-Waterproof-Bandages-20-Count,114230,Band-Aid Tough Wrap,Tough-Wrap,0.1111
2095029,"Navage Nasal Care Premier Bundle: Navage Nose Cleaner, Teal Travel Case, Countertop Caddy and 20 SaltPods",Navage-Nasal-Care-Premier-Bundle-Navage-Nose-Cleaner-Teal-Travel-Case-Countertop-Caddy-and-20-SaltPods,948999,"Navage Nose Cleaner + SaltPod Capsules, Congestion Relief",Nose-Cleaner-SaltPod-Capsules-Congestion-Relief,0.1053
371058,"Libman Flexible Microfiber Duster Wand 25"" long 4.5"" Wide",Libman-Flexible-Microfiber-Duster-Wand-25-long-4-5-Wide,114767,"Libman Brush, Long Handle, BBQ",Brush-Long-Handle-BBQ,0.0909
2392460,"Armour Star Potted Meat, 10g Protein Per Serving, Canned Meat, 3 oz. Can (Pack of 6)",Amour-Star-Potted-Meat-Canned-Meat-3-oz-6-Count,98975,Armour Sliced Dried Beef Jarred Meat,Sliced-Dried-Beef-Jarred-Meat,0.0909
2113549,"(2 pack) Ortega Mild Whole Green Chiles, Kosher, 7 oz (Canned)",pack-Ortega-Mild-Whole-Green-Chiles-Kosher-7-oz-Canned,101901,"Ortega Taco Sauce, Original, Mild",Taco-Sauce-Original-Mild,0.0833
2103293,"Soom Foods Creamy Chocolate Sesame Spread Paste, 12 oz Jar",Soom-Foods-Creamy-Chocolate-Tahini-Sesame-Spread-12-oz-Jar-Nut-Free-Dairy-Free,1892969,"Soom Tahini, Premium",Tahini-Premium,0.0714
379243,"Nabisco, Cameo Creme Sandwhich Cookies,Baked, Single Serve, 1.9 oz, Shelf Stable Plastic Pouch",Nabisco-Cameo-Creme-Sandwhich-Cookies-Baked-Single-Serve-1-9-oz-Shelf-Stable-Plastic-Pouch,951776,Nabisco Assorted Cookies,Assorted-Cookies,0.0714
379078,Old Orchard® Healthy Balance® Diet Apple Cranberry Juice Cocktail 64 fl. oz. Bottle,Old-Orchard-Healthy-Balance-Diet-Apple-Cranberry-Juice-Cocktail-64-fl-oz-Bottle,93798,"Old Orchard 100% Juice, Grape",100-Juice-Grape,0.0667
2271173,"Quest Nutrition Original 21g Protein Bar, Chocolate Chip Cookie Dough Flavor, Single, 1 Count",Quest-Chocolate-Chip-Cookie-Dough-Protein-Bar-High-Protein-Gluten-Free-Single-1-Count,1865634,Quest Nutrition Spicy Cheddar Protein Crackers,Spicy-Cheddar-Protein-Crackers,0.0667
2230862,"Neutrogena Mineral Sheers Powder Foundation, Natural Beige 60,.34 oz",Neutrogena-Mineral-Sheers-Powder-Foundation-Natural-Beige-60-34-oz,949223,Neutrogena Ultra Sheer Face Stick Broad Spectrum SPF 60 Sunscreen,Face-Stick-Broad-Spectrum-SPF-60-Sunscreen,0.0625
