block,item_id_A,name_A,brand_A,size_A,item_id_B,name_B,brand_B,size_B,score,token_jaccard,block_cols
russell stover|weight:10,2194068,"Russell Stover Valentine's Day Diamond Brooch Heart Assorted Milk & Dark Chocolate Gift Box, 10 oz.",Russell Stover,Width: 10.45 in / Height: 10.5 in / Depth: 1.5 in / Weight: 10 oz,1087043,Russell Stover Valentine's Day Diamond Brooch Heart Assorted Milk & Dark Chocolate Gift Box,Russell Stover,10 ounce,96.875,0.875,brand_norm+size_bucket
listerine|count:5,2273690,"Listerine On-the-Go Cool Mint Alcohol Free Mouthwash Packets, 5pk",Listerine,,1875951,Listerine On-The-Go Cool Mint Alcohol Free Mouthwash Packets,Listerine,5 ct.,96.7742,0.9091,brand_norm+size_bucket
sheamoisture|volume:8,2204677,"SheaMoisture Multi-Action Leave-In Conditioner Manuka Honey and Yogurt, 8 oz",SheaMoisture,8 fl oz,950997,SheaMoisture Multi-action Leave-in Conditioner Manuka Honey And Yogurt,SheaMoisture,8 fl. oz.,96.5517,0.9091,brand_norm+size_bucket
tru fru|weight:8,2387680,"Tru Fru Frozen Raspberries in Dark & White Chocolate, 8oz",Tru Fru,8oz,95275,Tru Fru Frozen Raspberries in Dark & White Chocolate,Tru Fru,8 ounce,96.4286,0.9,brand_norm+size_bucket
russell stover|weight:5.1,2194388,"Russell Stover Valentine's Day Red Foil Heart Assorted Milk & Dark Chocolate Candy Gift Box, 5.1 oz.",Russell Stover,Width: 9.3 in / Height: 10.05 in / Depth: 1.1 in / Weight: 5.1 oz,1086901,Russell Stover Valentine's Day Red Foil Heart Assorted Milk & Dark Chocolate Candy Gift Box,Russell Stover,5.1 ounce,96.3731,0.9375,brand_norm+size_bucket
sukhi s|weight:10,2117433,Sukhi's Indian Chicken Mango Coconut Samosa Frozen Appetizer Snack 10oz,Sukhi's,10 oz,94925,Sukhi's Indian Chicken Mango Coconut Samosa Frozen Appetizer Snack,Sukhi's,10 ounce,96.3504,0.9,brand_norm+size_bucket
sukhi s|weight:10,2068950,Sukhi's Indian Chicken Tikka Masala Samosa Frozen Appetizer Snack  10oz,Sukhi's,,94926,Sukhi's Indian Chicken Tikka Masala Samosa Frozen Appetizer Snack,Sukhi's,10 ounce,96.2963,0.9,brand_norm+size_bucket
aussie|weight:10,2237033,"Aussie Instant Freeze Hair Spray for Curly Hair, Straight Hair, and Wavy Hair, 10 oz",Aussie,10 oz,110592,"Aussie Instant Freeze Hair Spray for Curly Hair, Straight Hair, and Wavy Hair",Aussie,10 ounce,96.1538,0.8333,brand_norm+size_bucket
aussie|weight:10,2208066,"Aussie Instant Freeze Hair Spray for Curly Hair, Straight Hair, and Wavy Hair, 10 oz",Aussie,,110592,"Aussie Instant Freeze Hair Spray for Curly Hair, Straight Hair, and Wavy Hair",Aussie,10 ounce,96.1538,0.8333,brand_norm+size_bucket
citrucel|weight:30,2104808,"Citrucel Fiber Powder for Occasional Constipation Relief, Orange Flavor - 30 Ounces",Citrucel,30 oz,951502,"CITRUCEL Fiber Powder for Occasional Constipation Relief, Orange Flavor - 30 oz",CITRUCEL,30 ounce,96.1538,0.8333,brand_norm+size_bucket
russell stover|weight:7.2,2196678,"Russell Stover Valentine's Day Satin Heart Pecan Delights Milk Chocolate Candy Gift Box, 7.2 oz.",Russell Stover,Width: 10.45 in / Height: 10.25 in / Depth: 1.4 in / Weight: 7.2 oz,1086918,Russell Stover Valentine's Day Satin Heart Pecan Delights Milk Chocolate Candy Gift Box,Russell Stover,7.2 ounce,96.1326,0.9286,brand_norm+size_bucket
aussie|weight:10,2230930,"Aussie Mega Flexible Hair Spray for Curly Hair, Straight Hair, and Wavy Hair, 10 oz",Aussie,,951375,"Aussie Mega Flexible Hair Spray for Curly Hair, Straight Hair, and Wavy Hair",Aussie,10 ounce,96.1039,0.8333,brand_norm+size_bucket
orgain|weight:32,2262965,"(2 pack) Orgain Organic Vegan 21g Protein Powder, Plant Based Shake Drink, Vanilla Bean 2.03lb",Orgain,,1094786,"Orgain Organic Vegan 21g Protein Powder, Plant Based Shake Drink, Vanilla Bean 2.03lb",Orgain,32.4 ounce,95.9538,0.9286,brand_norm+size_bucket
orgain|weight:16,2194601,"(2 pack) Orgain Organic Vegan 21g Protein Powder, Plant Based Shake Drink, Vanilla Bean 1.02lb",Orgain,16.3 oz,110096,"Orgain Organic Vegan 21g Protein Powder, Plant Based Shake Drink, Vanilla Bean 1.02lb",Orgain,1.02 lb.,95.9538,0.9286,brand_norm+size_bucket
russell stover|weight:4,2194273,"Russell Stover Valentine's Day Red Foil Heart Assorted Milk & Dark Chocolate Candy Gift Box, 4.03 oz.",Russell Stover,,1086904,Russell Stover Valentine's Day Red Foil Heart Assorted Milk & Dark Chocolate Candy Gift Box,Russell Stover,4.03 ounce,95.8763,0.8824,brand_norm+size_bucket
butterfinger|weight:9.4,2260534,"Butterfinger Individually Wrapped Easter Minis, Easter Basket and Egg Hunt Fillers, 9.4 oz",Butterfinger,,101248,"Butterfinger Individually Wrapped Easter Minis, Easter Basket and Egg Hunt Fillers",Butterfinger,9.4 ounce,95.858,0.9091,brand_norm+size_bucket
tasty bite|weight:8.8,2196191,(2 pack) Tasty Bite Mediterranean Protein Bowl 8.8oz - Mediterranean-inspired protein bowl,Tasty Bite,,100142,Tasty Bite Mediterranean Protein Bowl 8.8oz - Mediterranean-inspired protein bowl,Tasty Bite,8.8 ounce,95.7576,0.875,brand_norm+size_bucket
p f chang s|weight:22,2067515,"P.F. Chang's Home Menu Chicken Fried Rice Skillet Meal, Frozen Dinner, 22 oz.",P.F. Chang's,,93535,"P.F. Chang's Home Menu Chicken Fried Rice Skillet Meal, Frozen Dinner",P.F. Chang's,22 ounce,95.7143,0.8333,brand_norm+size_bucket
secret|weight:2.6,2085892,"Secret Outlast Clear Gel Antiperspirant Deodorant for Women, Protecting Powder 2.6 Oz",Secret,,112870,"secret Outlast Clear Gel Antiperspirant Deodorant for Women, Protecting Powder",secret,2.6 ounce,95.6522,0.9091,brand_norm+size_bucket
maybelline|weight:0.04,2208410,"Maybelline Super Stay Ink Crayon Lipstick, Matte Longwear Lipstick Makeup, Seek Adventure, 0.04 oz.",Maybelline,,106752,"Maybelline Super Stay Ink Crayon Lipstick, Matte Longwear Lipstick Makeup Seek Adventure",Maybelline,0.04 ounce,95.6044,0.8462,brand_norm+size_bucket
glade|weight:8,2194820,"(6 pack) Glade Odor Fighting Soft Mist Air Freshener Room Spray, Clean Linen, 8.0oz, 1pk",Glade,,948566,"Glade Odor Fighting Soft Mist Air Freshener Room Spray, Clean Linen, 8.0oz, 1pk",Glade,8 ounce,95.5975,0.9286,brand_norm+size_bucket
secret|weight:3.4,2085976,"Secret Outlast Clear Gel Antiperspirant Deodorant for Women, Completely Clean, 3.4 oz",Secret,,114769,"secret Outlast Clear Gel Antiperspirant Deodorant for Women, Completely Clean",secret,3.4 ounce,95.5975,0.9091,brand_norm+size_bucket
secret|weight:2.6,2074076,"Secret Outlast Clear Gel Antiperspirant Deodorant for Women, Completely Clean, 2.6 oz",Secret,2.6 oz,112887,"Secret Outlast Clear Gel Antiperspirant Deodorant for Women, Completely Clean",Secret,2.6 ounce,95.5975,0.9091,brand_norm+size_bucket
orgain|weight:32,2194595,"(2 pack) Orgain Organic Vegan 21g Protein Powder, Plant Based, Creamy Chocolate 2.03lb",Orgain,,113719,"Orgain Organic Vegan 21g Protein Powder, Plant Based, Creamy Chocolate 2.03lb",Orgain,32.4 ounce,95.5414,0.9167,brand_norm+size_bucket
russell stover|weight:7.8,2053345,"RUSSELL STOVER Christmas Milk Chocolate Marshmallow Ornament 6 Pack, 7.8 oz.",Russell Stover,Width: 9.5 in / Height: 5.5 in / Depth: 1.125 in / Weight: 7.8 oz,2012719,Russell Stover Christmas Milk Chocolate Marshmallow Ornament 6 Pack,Russell Stover,7.8 ounce,95.0355,0.8889,brand_norm+size_bucket
nicorette|count:81,2127408,"Nicorette Mini Nicotine Lozenges to Stop Smoking, Mint Flavor, 4 Mg - 81 Count",Nicorette,,1092120,"NICORETTE Mini Nicotine Lozenges to Stop Smoking, 4 mg, Mint Flavor - 81 Count",NICORETTE,81 ct.,95.0,1.0,brand_norm+size_bucket
andalou naturals|weight:1.7,2101628,Andalou Naturals AGE DEFYING Resveratrol Q10 Night Repair Cream,Andalou Naturals,1.7 oz,114808,"Andalou Naturals Night Repair Cream, Resveratrol Q10, Age Defying",Andalou Naturals,1.7 ounce,95.0,1.0,brand_norm+size_bucket
chicken of the sea|weight:2.5,1941844,"Chicken of the Sea Wild Caught Light Tuna Packet, OLD BAY® Seasoning 2.5 oz",Chicken of the Sea,,1895464,"Chicken of the Sea Wild Caught Light Tuna Packet, Old Bay Seasoning",Chicken of the Sea,2.5 ounce,95.0,0.9231,brand_norm+size_bucket
nicoderm cq|count:14,2123700,"Nicoderm CQ Nicotine Patches to Help Stop Smoking, 7Mg, Step 3 - 14 Count",NicoDerm CQ,,108415,"NICODERM CQ CQ Nicotine Patches to Help Stop Smoking, Step 3 - 14 Count",NICODERM CQ,14 ct.,95.0,0.9167,brand_norm+size_bucket
glade|weight:6.2,2201585,"(2 pack) Glade Automatic Air Freshener Refill Spray, Autumn Spiced Apple, 6.2 oz",Glade,6.2 oz,1088646,"Glade Automatic Spray Refill, Air Freshener, Autumn Spiced Apple, 6.2 oz",Glade,6.2 ounce,95.0,0.9091,brand_norm+size_bucket
russell stover|weight:3,2203769,"RUSSELL STOVER Easter Bunny Peanut Butter Milk Chocolate Candy Rabbit, 3 oz.",Russell Stover,,952530,Russell Stover Easter Easter Bunny Peanut Butter Milk Chocolate Candy Rabbit,Russell Stover,3 ounce,95.0,0.9091,brand_norm+size_bucket
tru fru|weight:8,2382537,"Tru Fru Frozen Bananas in Peanut Butter and Milk Chocolate, 8 oz",Tru Fru,,1088685,Tru Fru Frozen Bananas in Milk Chocolate & Peanut Butter,Tru Fru,8 ounce,95.0,0.9091,brand_norm+size_bucket
maybelline|volume:0.24,2252894,"Maybelline Lash Sensational Sky High Washable Mascara, Very Black",Maybelline,0.24 fl oz,108454,Maybelline Lash Sensational Sky High Washable Mascara Makeup Very Black,Maybelline,0.24 fl. oz.,95.0,0.9,brand_norm+size_bucket
russell stover|weight:3,2220076,"RUSSELL STOVER Easter Bunny Caramel Milk Chocolate Candy Rabbit, 3 oz.",Russell Stover,,952970,Russell Stover Easter Easter Bunny Caramel Milk Chocolate Candy Rabbit,Russell Stover,3 ounce,95.0,0.9,brand_norm+size_bucket
pillsbury|weight:9.1,2117437,"Pillsbury Ready to Bake Ghost Shape Sugar Cookie Dough, 9.1 oz",Pillsbury,9.100 oz,1089312,Pillsbury Ready to Bake! Ghost Shape Sugar Cookie Dough,Pillsbury,9.1 ounce,95.0,0.9,brand_norm+size_bucket
crest|weight:4.2,2206215,"(2 pack) Crest Toothpaste, Kids Toothpaste Featuring Disney Princesses, Bubblegum Flavor, 4.2 oz",Crest,,112810,"Crest Kids Toothpaste, featuring Disney Princesses, Bubblegum Flavor, 4.2 oz",Crest,4.2 ounce,95.0,0.9,brand_norm+size_bucket
fruit of the earth|weight:6,372627,Fruit of the Earth Aloe Vera 100% Gel - 6 oz,Fruit of the Earth,,1091060,"Fruit of the Earth Aloe Vera Gel, 100%",Fruit of the Earth,6 ounce,95.0,0.8889,brand_norm+size_bucket
russell stover|weight:1.3,2194442,"RUSSELL STOVER Easter Marshmallow Milk Chocolate Candy Easter Egg, 1.3 oz.",Russell Stover,Width: 2.75 in / Height: 3.25 in / Depth: 0.75 in / Weight: 1.3 oz,101242,Russell Stover Easter Marshmallow Milk Chocolate Candy Egg,Russell Stover,1.3 ounce,95.0,0.8889,brand_norm+size_bucket
mccormick|weight:1.3,2074706,"Mccormick Savory Pot Slow Cooker Pot Roast Seasoning Mix - Savory, 1.3 Oz",McCormick,1.3 oz,101524,McCormick Slow Cooker Savory Pot Roast Seasoning Mix,McCormick,1.3 ounce,95.0,0.8889,brand_norm+size_bucket
always|count:7,1948095,"Always ZZZ Overnight Disposable Period Underwear Size XL, 7 Count",ALWAYS,,957976,Always ZZZ Overnight Disposable Period Underwear Size XL,Always,7 ct.,95.0,0.8889,brand_norm+size_bucket
barbasol|weight:7,374277,"Barbasol Thick & Rich Shaving Cream, Soothing Aloe 7 oz",Barbasol,,115321,"Barbasol Shaving Cream, Thick & Rich, Soothing Aloe",Barbasol,7 ounce,95.0,0.8889,brand_norm+size_bucket
jimmy dean|weight:12,2112540,"Jimmy Dean Premium Hickory Smoked Refrigerated Bacon, 12 oz",Jimmy Dean,,1084177,"Jimmy Dean Premium Hickory Smoked Bacon, 12 oz",Jimmy Dean,12 ounce,95.0,0.8889,brand_norm+size_bucket
russell stover|weight:5.1,2194390,"(3 pack) Russell Stover Valentine's Day Red Foil Heart Assorted Milk & Dark Chocolate Candy Gift Box, 5.1 oz.",Russell Stover,Width: 9.3 in / Height: 10.05 in / Depth: 1.1 in / Weight: 5.1 oz,1086901,Russell Stover Valentine's Day Red Foil Heart Assorted Milk & Dark Chocolate Candy Gift Box,Russell Stover,5.1 ounce,95.0,0.8824,brand_norm+size_bucket
maybelline|volume:0.32,2204734,"Maybelline Lash Sensational Washable Mascara, Blackest Black",Maybelline,0.32 fl oz,114539,Maybelline Lash Sensational Luscious Washable Mascara Blackest Black,Maybelline,0.32 fl. oz.,95.0,0.875,brand_norm+size_bucket
crest|weight:5.7,2270553,"Crest Tartar Protection Toothpaste, Whitening Cool Mint, 5.7 oz",Crest,5.7 oz,107517,"Crest Whitening Tartar Protection Toothpaste, Whitening Cool Mint",Crest,5.7 ounce,95.0,0.875,brand_norm+size_bucket
secret|weight:2.4,2063280,"Secret Aluminum Free Deodorant for Women, Lavender, 2.4 oz",Secret,,115347,"Secret Aluminum Free Deodorant for Women, Lavender",Secret,2.4 ounce,95.0,0.875,brand_norm+size_bucket
john frieda|volume:4,2236820,"John Frieda Frizz Ease Secret Weapon Touch-Up Crème, Anti Frizz Hair Cream, Hair Smoothing Cream, 4 fl oz",John Frieda,4 fl oz,2157060,"John Frieda Frizz Ease Secret Weapon Touch-Up Crème, Anti Frizz Hair Smoothing Cream",John Frieda,4 fl. oz.,95.0,0.875,brand_norm+size_bucket
catalina crunch|weight:9,2067116,"Catalina Crunch Protein Cereal Chocolate Peanut Butter, 9 oz",Catalina Crunch,9 oz,100643,"Catalina Crunch Cereal, Protein, Chocolate Peanut Butter",Catalina Crunch,9 ounce,95.0,0.875,brand_norm+size_bucket
goya|weight:7,2118823,"GOYA Curry Rice With Carrots & Onions,  7 oz",GOYA,7 oz,1084145,"Goya Curry Rice, with Carrots & Onions",Goya,7 ounce,95.0,0.875,brand_norm+size_bucket
secret|weight:2.4,2085927,"Secret Aluminum Free Deodorant for Women, Coconut, 2.4 oz",Secret,,115351,"Secret Aluminum Free Deodorant for Women, Coconut",Secret,2.4 ounce,95.0,0.875,brand_norm+size_bucket
thai kitchen|weight:9,363544,"Thai Kitchen Gluten Free Pad Thai Noodle Kit, 9 oz",Thai Kitchen,,103824,Thai Kitchen Gluten Free Pad Thai Noodle Kit,Thai Kitchen,9 ounce,95.0,0.875,brand_norm+size_bucket
siete|weight:4.5,2273210,Siete Grain Free Strawberries & Cream Cookies 4.5 oz,Siete,,1953514,Siete Grain Free Strawberries & Cream Cookies,Siete,4.5 ounce,95.0,0.875,brand_norm+size_bucket
vermont creamery|weight:4,2392765,"Vermont Creamery Maple Chipotle Goat Cheese Log, 4 oz",Vermont Creamery,4 oz,1952574,Vermont Creamery Maple Chipotle Goat Cheese Log,Vermont Creamery,4 ounce,95.0,0.875,brand_norm+size_bucket
kraft|weight:7,2118974,"Kraft Natural Cheese Cheddar Fat Free Shredded Cheese, 7 Oz.",Kraft,,92837,"Kraft Natural Cheese, Cheddar, Shredded, Fat Free",Kraft,7 ounce,95.0,0.875,brand_norm+size_bucket
boursin|weight:5.3,2267655,"Boursin Shallot & Chive Spreadable Gourmet Cheese, 5.3 oz",Boursin,,956578,Boursin® Shallot & Chive Spreadable Gourmet Cheese,Boursin®,5.3 ounce,95.0,0.875,brand_norm+size_bucket
thomas|weight:13,2112471,"Thomas' Cranberry English Muffins, 6 count, English Muffins, 13 oz Tray",Thomas',13 oz Tray; 6  count (2.17 oz each),1086390,"Thomas' Cranberry English Muffins, 6 count, 13 oz",Thomas',13 ounce,95.0,0.875,brand_norm+size_bucket
tofurky|weight:5.5,2068758,"Tofurky Plant-Based Peppered Deli Slices, 5.5 oz",Tofurky,,93089,Tofurky Plant-Based Peppered Deli Slices,Tofurky,5.5 ounce,95.0,0.8571,brand_norm+size_bucket
chicken of the sea|weight:2.5,2257749,"(4 pack) Chicken of the Sea Wild Caught Light Tuna Packet, OLD BAY® Seasoning 2.5 oz",Chicken of the Sea,,1895464,"Chicken of the Sea Wild Caught Light Tuna Packet, Old Bay Seasoning",Chicken of the Sea,2.5 ounce,95.0,0.8571,brand_norm+size_bucket
native forest|volume:14,2208224,(2 pack) Native Forest Organic Unsweetened Coconut Milk,Native Forest,13.5 fl oz,97328,"Native Forest Coconut Milk, Organic, Unsweetened",Native Forest,13.5 fl. oz.,95.0,0.8571,brand_norm+size_bucket
sensodyne pronamel|weight:4,2086170,"Sensodyne Pronamel Daily Protection Enamel Toothpaste for Sensitive Teeth and Cavity Protection, Mint Essence - 4 Oz",Sensodyne Pronamel,,113569,Sensodyne Pronamel Pronamel Daily Protection Enamel Toothpaste for Sensitive Teeth and Cavity Protection 4 Oz,Sensodyne Pronamel,4 ounce,95.0,0.8571,brand_norm+size_bucket
siete|weight:5.5,2114776,Siete Kettle Cooked Potato Chips Fuego - 5.5 oz.,Siete,5.5 oz,101194,"Siete Potato Chips, Kettle Cooked, Fuego",Siete,5.5 ounce,95.0,0.8571,brand_norm+size_bucket
ruffles|weight:8,2074918,"Ruffles All Dressed Flavored Potato Chips, 8 oz",Ruffles,8 OZ. (226.8 g),958517,Ruffles Potato Chips All Dressed Flavored,Ruffles,8 ounce,95.0,0.8571,brand_norm+size_bucket
three wishes|weight:8.6,2132859,"Three Wishes Unsweetened, Grain Free Cereal, 8.6 oz",Three Wishes,8.6 oz,97723,"Three Wishes Cereal, Grain Free, Unsweetened",Three Wishes,8.6 ounce,95.0,0.8571,brand_norm+size_bucket
dr bronner s|weight:0.15,2120398,Dr. Bronner's Organic Peppermint Lip Balm 0.15oz,Dr. Bronner's,0.15 oz,950988,Dr. Bronner's Organic Lip Balm - Peppermint,Dr. Bronner's,0.15 ounce,95.0,0.8571,brand_norm+size_bucket
utz|weight:16,2196952,Utz 16oz Old Fashioned Sourdough Hards Pretzels,Utz,,951995,"Utz Pretzels, Sourdough, Old Fashioned, Hards",Utz,16 ounce,95.0,0.8571,brand_norm+size_bucket
aussie|weight:7,2204820,"Aussie Instant Freeze Sculpting Hair Gel for Curly Hair, Straight Hair, and Wavy Hair, 7 oz Unisex",Aussie,7 oz,112271,"Aussie Instant Freeze Sculpting Gel for Curly Hair, Straight Hair, and Wavy Hair",Aussie,7 ounce,95.0,0.8462,brand_norm+size_bucket
secret|weight:3,2123226,Secret Whole Women's Body Aluminum Free Deodorant Clear Cream Peach & Vanilla 3.0oz,Secret,,950656,Secret Whole Body Aluminum Free Deodorant Clear Cream Peach & Vanilla,Secret,3 ounce,95.0,0.8462,brand_norm+size_bucket
snyder s of hanover|weight:7,2068882,"Snyder's of Hanover Honey Mustard and Onion Gluten Free Pretzel Sticks, 7 oz Bag",Snyder's of Hanover,,97655,Snyder's of Hanover Gluten Free Honey Mustard and Onion Pretzel Sticks,Snyder's of Hanover,7 ounce,95.0,0.8462,brand_norm+size_bucket
simple mills|weight:4.2,2194676,"Simple Mills Crackers, Sun-Dried Tomato & Basil, Almond Flour, 4.25 oz.",Simple Mills,4.25 oz,100987,"Simple Mills Almond Flour Crackers, Tomato & Basil, Sun-Dried",Simple Mills,4.25 ounce,95.0,0.8333,brand_norm+size_bucket
maybelline|weight:0.29,2204733,"Maybelline Fit Me Matte Poreless Pressed Face Powder Makeup, Translucent, 0.29 oz",Maybelline,,115371,Maybelline Fit Me Matte + Poreless Pressed Face Powder Makeup Translucent,Maybelline,0.29 ounce,95.0,0.8333,brand_norm+size_bucket
russell stover|weight:1.5,2194412,"Russell Stover Valentine's Day Pink Photo Heart Chocolate Candy Gift Box, 1.5 oz.",Russell Stover,Width: 0 in / Height: 0 in / Depth: 0 in / Weight: 1.5 oz,2137908,Russell Stover Valentine's Day Photo Heart Chocolate Candy Gift Box,Russell Stover,1.5 ounce,95.0,0.8333,brand_norm+size_bucket
russell stover|weight:1.5,2194265,"Russell Stover Valentine's Day Red Photo Heart Chocolate Candy Gift Box, 1.5 oz.",Russell Stover,Width: 4.05 in / Height: 4.1 in / Depth: 1.15 in / Weight: 1.5 oz,2137908,Russell Stover Valentine's Day Photo Heart Chocolate Candy Gift Box,Russell Stover,1.5 ounce,95.0,0.8333,brand_norm+size_bucket
aveeno|weight:5,2195270,"Aveeno Positively Radiant Brightening Scrub, 5 oz",Aveeno,,1091350,Aveeno Positively Radiant Brightening Scrub,Aveeno,5 ounce,95.0,0.8333,brand_norm+size_bucket
celestial seasonings|count:20,2198059,Celestial Seasonings Honey Vanilla Chamomile Caffeine-Free Herbal Tea Bags (20 Count),Celestial Seasonings,,104505,"Celestial Seasonings Herbal Tea, Caffeine Free, Honey Vanilla Chamomile, Tea Bags",Celestial Seasonings,20 ct.,95.0,0.8333,brand_norm+size_bucket
secret|weight:2.6,2085788,"(3 pack) Secret Outlast Clear Gel Antiperspirant Deodorant for Women, Protecting Powder 2.6 Oz",Secret,2.6 oz,112870,"secret Outlast Clear Gel Antiperspirant Deodorant for Women, Protecting Powder",secret,2.6 ounce,95.0,0.8333,brand_norm+size_bucket
kava|weight:4,2093631,"Kava Reduced Acid Instant Coffee, 4 Ounce",Kava,4 oz,98186,"Kava Instant Coffee, Reduced Acid",Kava,4 ounce,95.0,0.8333,brand_norm+size_bucket
maybelline|volume:0.2,2105314,"Maybelline Lash Sensational Sky High Waterproof Mascara Makeup, Very Black, 0.2 fl oz",Maybelline,0.2 fl oz,108455,Maybelline Lash Sensational Sky High Waterproof Mascara Makeup Very Black,Maybelline,0.2 fl. oz.,95.0,0.8333,brand_norm+size_bucket
mccormick|weight:6,365191,"McCormick Pure Ground Black Pepper, 6 oz",McCormick,,95946,McCormick Pure Ground Black Pepper,McCormick,6 ounce,95.0,0.8333,brand_norm+size_bucket
